Gene,Annotation,Median_GSS,PCC
SDF4,Colon Tissue,0.0,0.305298639733474
FAM189A2,Colon Tissue,0.0,0.30519263496443094
TSC22D1,Colon Tissue,0.0,0.30514092976074464
UQCRC1,Colon Tissue,0.0,0.3047520519568551
NDRG1,Colon Tissue,0.0,0.3046316036810477
CIPC,Colon Tissue,0.0,0.3044697520018962
COX4I1,Colon Tissue,1.7939453125,0.3044637419641599
CDX2,Colon Tissue,0.0,0.3040227327035209
SLC35G1,Colon Tissue,0.0,0.3039460582083837
CSTB,Colon Tissue,0.0,0.3037014659233381
SNAPC5,Colon Tissue,0.0,0.3036448894600455
BTF3,Colon Tissue,1.7236328125,0.3035827411055292
NDUFA2,Colon Tissue,1.77734375,0.30353530913267057
RHOF,Colon Tissue,0.0,0.303491323744524
METRNL,Colon Tissue,0.0,0.3032880480863126
HAO2,Colon Tissue,0.0,0.30321644806938886
OSTF1,Colon Tissue,0.0,0.30281302721786224
ESPN,Colon Tissue,0.0,0.30234460209987146
SDHD,Colon Tissue,0.0,0.3023209003218168
MDH1,Colon Tissue,0.0,0.30213070544854354
TOM1L1,Colon Tissue,0.0,0.3020801212194907
LAMB3,Colon Tissue,0.0,0.3020038591488844
PLIN2,Colon Tissue,0.0,0.30195378335172485
CKMT1B,Colon Tissue,1.720703125,0.3019217864213638
SPTLC2,Colon Tissue,0.0,0.30190498007902944
ADRA2A,Colon Tissue,0.0,0.30180108283989543
LAMTOR2,Colon Tissue,0.0,0.3017324832770622
KLF3,Colon Tissue,0.0,0.3014964069946729
UQCRHL,Colon Tissue,1.8095703125,0.3014218812878531
VDR,Colon Tissue,0.0,0.3010393766631599
TMEM134,Colon Tissue,0.0,0.3007622349447574
RIOK3,Colon Tissue,0.0,0.30055807966140263
TPD52,Colon Tissue,0.0,0.30027588299722957
TMED10,Colon Tissue,0.0,0.30027106793519065
PRPSAP1,Colon Tissue,0.0,0.2999314477452552
INAVA,Colon Tissue,0.0,0.2998131410135353
PDLIM2,Colon Tissue,0.0,0.2997459210441691
LAMTOR1,Colon Tissue,0.0,0.29959679226962505
HADHA,Colon Tissue,0.0,0.29955267830716387
SCT,Colon Tissue,0.0,0.2994804128231825
CASP1,Colon Tissue,0.0,0.29928549455802783
C9orf85,Colon Tissue,0.0,0.2992625169177576
VPS28,Colon Tissue,0.0,0.2991640031298789
SSU72,Colon Tissue,0.0,0.2989398888874602
H3-3A,Colon Tissue,0.0,0.2982161827029956
TAX1BP3,Colon Tissue,0.0,0.2982156029837193
ABI1,Colon Tissue,0.0,0.2976659018387314
GRPEL2,Colon Tissue,0.0,0.29757307710775377
DOK4,Colon Tissue,0.0,0.2974366661313545
PIN4,Colon Tissue,0.0,0.2974358137367557
RPS27,Colon Tissue,1.837890625,0.29733462090946255
UBE2A,Colon Tissue,0.0,0.2968261035122182
LHFPL2,Colon Tissue,0.0,0.296375205335234
